edit_index,case_id,rewrite_acc,rephrase_acc
0,0,1.0,0.0
1,1,1.0,1.0
2,2,1.0,0.0
3,3,1.0,0.0
4,4,1.0,1.0
5,5,1.0,1.0
6,6,1.0,0.0
7,7,1.0,0.0
8,8,1.0,0.0
9,9,1.0,1.0
10,10,1.0,1.0
11,11,1.0,1.0
12,12,1.0,1.0
13,13,1.0,0.0
14,14,1.0,1.0
15,15,1.0,1.0
16,16,1.0,0.0
17,17,1.0,1.0
18,18,1.0,1.0
19,19,1.0,0.0
20,20,1.0,1.0
21,21,1.0,0.0
22,22,1.0,1.0
23,23,1.0,1.0
24,24,1.0,1.0
25,25,1.0,0.0
26,26,1.0,0.0
27,27,1.0,0.0
28,28,1.0,1.0
29,29,1.0,1.0
30,30,1.0,1.0
31,31,1.0,1.0
32,32,1.0,0.0
33,33,1.0,1.0
34,34,1.0,1.0
35,35,1.0,1.0
36,36,1.0,1.0
37,37,1.0,0.0
38,38,1.0,1.0
39,39,1.0,1.0
40,40,1.0,1.0
41,41,1.0,1.0
42,42,1.0,1.0
43,43,1.0,0.0
44,44,1.0,0.0
45,45,1.0,0.0
46,46,1.0,0.0
47,47,1.0,0.0
48,48,1.0,0.0
49,49,1.0,1.0
50,50,1.0,0.0
51,51,1.0,0.0
52,52,1.0,0.0
53,53,1.0,1.0
54,54,1.0,1.0
55,55,1.0,0.0
56,56,1.0,1.0
57,57,1.0,0.0
58,58,1.0,0.0
59,59,1.0,0.0
60,60,1.0,0.0
61,61,1.0,1.0
62,62,1.0,1.0
63,63,1.0,0.0
64,64,1.0,0.0
65,65,1.0,0.0
66,66,1.0,1.0
67,67,1.0,1.0
68,68,1.0,0.0
69,69,1.0,1.0
70,70,1.0,0.0
71,71,1.0,1.0
72,72,1.0,1.0
73,73,1.0,0.0
74,74,1.0,1.0
75,75,1.0,1.0
76,76,1.0,1.0
77,77,1.0,1.0
78,78,1.0,1.0
79,79,1.0,1.0
80,80,1.0,1.0
81,81,1.0,0.0
82,82,1.0,1.0
83,83,1.0,1.0
84,84,1.0,0.0
85,85,1.0,1.0
86,86,1.0,0.0
87,87,1.0,1.0
88,88,1.0,1.0
89,89,1.0,1.0
90,90,1.0,1.0
91,91,1.0,1.0
92,92,1.0,1.0
93,93,1.0,1.0
94,94,1.0,1.0
95,95,1.0,1.0
96,96,1.0,1.0
97,97,1.0,1.0
98,98,1.0,1.0
99,99,1.0,1.0
100,0,1.0,0.0
101,1,1.0,1.0
102,2,1.0,1.0
103,3,1.0,1.0
104,4,1.0,1.0
105,5,1.0,0.0
106,6,1.0,1.0
107,7,1.0,1.0
108,8,1.0,1.0
109,9,1.0,1.0
110,10,1.0,0.0
111,11,1.0,1.0
112,12,1.0,1.0
113,13,1.0,1.0
114,14,1.0,0.0
115,15,1.0,1.0
116,16,1.0,1.0
117,17,1.0,0.0
118,18,1.0,0.0
119,19,1.0,1.0
120,20,1.0,1.0
121,21,1.0,1.0
122,22,1.0,0.0
123,23,1.0,1.0
124,24,1.0,1.0
125,25,1.0,1.0
126,26,1.0,1.0
127,27,1.0,1.0
128,28,1.0,1.0
129,29,1.0,0.0
130,30,1.0,0.0
131,31,1.0,1.0
132,32,1.0,0.0
133,33,1.0,1.0
134,34,1.0,1.0
135,35,1.0,0.0
136,36,1.0,1.0
137,37,1.0,1.0
138,38,1.0,1.0
139,39,1.0,0.0
140,40,1.0,1.0
141,41,1.0,1.0
142,42,1.0,0.0
143,43,1.0,0.0
144,44,1.0,0.0
145,45,1.0,1.0
146,46,1.0,0.0
147,47,1.0,1.0
148,48,1.0,1.0
149,49,1.0,0.0
150,50,1.0,0.0
151,51,1.0,1.0
152,52,1.0,0.0
153,53,1.0,1.0
154,54,1.0,1.0
155,55,1.0,1.0
156,56,1.0,1.0
157,57,1.0,1.0
158,58,1.0,1.0
159,59,1.0,1.0
160,60,1.0,1.0
161,61,1.0,1.0
162,62,1.0,1.0
163,63,1.0,1.0
164,64,1.0,1.0
165,65,1.0,0.0
166,66,1.0,0.0
167,67,1.0,1.0
168,68,1.0,0.0
169,69,1.0,0.0
170,70,1.0,0.0
171,71,1.0,1.0
172,72,1.0,1.0
173,73,1.0,1.0
174,74,1.0,1.0
175,75,1.0,0.0
176,76,1.0,1.0
177,77,1.0,0.0
178,78,1.0,1.0
179,79,1.0,1.0
180,80,1.0,0.0
181,81,1.0,0.0
182,82,1.0,1.0
183,83,1.0,0.0
184,84,1.0,0.0
185,85,1.0,1.0
186,86,1.0,1.0
187,87,1.0,1.0
188,88,1.0,0.0
189,89,1.0,1.0
190,90,1.0,0.0
191,91,1.0,0.0
192,92,1.0,0.0
193,93,1.0,1.0
194,94,1.0,1.0
195,95,1.0,0.0
196,96,1.0,0.0
197,97,1.0,1.0
198,98,1.0,0.0
199,99,1.0,1.0
200,0,1.0,1.0
201,1,1.0,1.0
202,2,1.0,1.0
203,3,1.0,1.0
204,4,1.0,1.0
205,5,1.0,1.0
206,6,1.0,0.0
207,7,1.0,1.0
208,8,1.0,1.0
209,9,1.0,1.0
210,10,1.0,1.0
211,11,1.0,1.0
212,12,1.0,1.0
213,13,1.0,1.0
214,14,1.0,1.0
215,15,1.0,0.0
216,16,1.0,1.0
217,17,1.0,1.0
218,18,1.0,1.0
219,19,1.0,1.0
220,20,1.0,0.0
221,21,1.0,0.0
222,22,1.0,0.0
223,23,1.0,1.0
224,24,1.0,1.0
225,25,1.0,1.0
226,26,1.0,1.0
227,27,1.0,1.0
228,28,1.0,1.0
229,29,1.0,1.0
230,30,1.0,1.0
231,31,1.0,1.0
232,32,1.0,1.0
233,33,1.0,1.0
234,34,1.0,0.0
235,35,1.0,1.0
236,36,1.0,0.0
237,37,1.0,0.0
238,38,1.0,0.0
239,39,1.0,1.0
240,40,1.0,1.0
241,41,1.0,1.0
242,42,1.0,1.0
243,43,1.0,1.0
244,44,1.0,1.0
245,45,1.0,1.0
246,46,1.0,1.0
247,47,1.0,0.0
248,48,1.0,1.0
249,49,1.0,1.0
250,50,1.0,0.0
251,51,1.0,0.0
252,52,1.0,0.0
253,53,1.0,1.0
254,54,1.0,1.0
255,55,1.0,1.0
256,56,1.0,0.0
257,57,1.0,1.0
258,58,1.0,1.0
259,59,1.0,1.0
260,60,1.0,0.0
261,61,1.0,1.0
262,62,1.0,1.0
263,63,1.0,1.0
264,64,1.0,0.0
265,65,1.0,0.0
266,66,1.0,1.0
267,67,1.0,1.0
268,68,1.0,1.0
269,69,1.0,0.0
270,70,1.0,0.0
271,71,1.0,1.0
272,72,1.0,0.0
273,73,1.0,1.0
274,74,1.0,1.0
275,75,1.0,1.0
276,76,1.0,1.0
277,77,1.0,0.0
278,78,1.0,1.0
279,79,1.0,1.0
280,80,1.0,1.0
281,81,1.0,1.0
282,82,1.0,1.0
283,83,1.0,0.0
284,84,1.0,1.0
285,85,1.0,1.0
286,86,1.0,0.0
287,87,1.0,1.0
288,88,1.0,1.0
289,89,1.0,0.0
290,90,1.0,1.0
291,91,1.0,1.0
292,92,1.0,1.0
293,93,1.0,1.0
294,94,1.0,1.0
295,95,1.0,1.0
296,96,1.0,1.0
297,97,1.0,0.0
298,98,1.0,1.0
299,99,1.0,1.0
300,0,1.0,0.0
301,1,1.0,1.0
302,2,1.0,1.0
303,3,1.0,1.0
304,4,1.0,1.0
305,5,1.0,1.0
306,6,1.0,1.0
307,7,1.0,1.0
308,8,1.0,1.0
309,9,1.0,0.0
310,10,1.0,1.0
311,11,1.0,1.0
312,12,1.0,1.0
313,13,1.0,1.0
314,14,1.0,1.0
315,15,1.0,0.0
316,16,1.0,1.0
317,17,1.0,0.0
318,18,1.0,1.0
319,19,1.0,1.0
320,20,1.0,0.0
321,21,1.0,0.0
322,22,1.0,1.0
323,23,1.0,1.0
324,24,1.0,1.0
325,25,1.0,1.0
326,26,1.0,1.0
327,27,1.0,1.0
328,28,1.0,1.0
329,29,1.0,0.0
330,30,1.0,0.0
331,31,1.0,1.0
332,32,1.0,0.0
333,33,1.0,0.5
334,34,1.0,1.0
335,35,1.0,1.0
336,36,1.0,1.0
337,37,1.0,1.0
338,38,1.0,0.0
339,39,1.0,1.0
340,40,1.0,0.0
341,41,1.0,1.0
342,42,1.0,1.0
343,43,1.0,1.0
344,44,1.0,1.0
345,45,1.0,0.0
346,46,1.0,1.0
347,47,1.0,1.0
348,48,1.0,1.0
349,49,1.0,1.0
350,50,1.0,0.0
351,51,1.0,1.0
352,52,1.0,1.0
353,53,1.0,1.0
354,54,1.0,0.0
355,55,1.0,0.0
356,56,1.0,1.0
357,57,1.0,1.0
358,58,1.0,1.0
359,59,1.0,1.0
360,60,1.0,1.0
361,61,1.0,0.0
362,62,1.0,1.0
363,63,1.0,1.0
364,64,1.0,0.0
365,65,1.0,0.0
366,66,1.0,1.0
367,67,1.0,1.0
368,68,1.0,1.0
369,69,1.0,1.0
370,70,1.0,1.0
371,71,1.0,1.0
372,72,1.0,0.0
373,73,1.0,1.0
374,74,1.0,1.0
375,75,1.0,0.5
376,76,1.0,1.0
377,77,1.0,1.0
378,78,1.0,1.0
379,79,1.0,1.0
380,80,1.0,1.0
381,81,1.0,1.0
382,82,1.0,1.0
383,83,1.0,1.0
384,84,1.0,1.0
385,85,1.0,1.0
386,86,1.0,1.0
387,87,1.0,1.0
388,88,1.0,1.0
389,89,1.0,0.0
390,90,1.0,0.0
391,91,1.0,1.0
392,92,1.0,0.0
393,93,1.0,1.0
394,94,1.0,1.0
395,95,1.0,1.0
396,96,1.0,1.0
397,97,1.0,0.0
398,98,1.0,1.0
399,99,1.0,0.0
400,0,1.0,0.0
401,1,1.0,1.0
402,2,1.0,1.0
403,3,1.0,1.0
404,4,1.0,1.0
405,5,1.0,1.0
406,6,1.0,1.0
407,7,1.0,1.0
408,8,1.0,1.0
409,9,1.0,1.0
410,10,1.0,1.0
411,11,1.0,1.0
412,12,1.0,1.0
413,13,1.0,0.0
414,14,1.0,1.0
415,15,1.0,0.0
416,16,1.0,0.0
417,17,1.0,0.0
418,18,1.0,1.0
419,19,1.0,0.0
420,20,1.0,1.0
421,21,1.0,0.0
422,22,1.0,1.0
423,23,1.0,1.0
424,24,1.0,1.0
425,25,1.0,1.0
426,26,1.0,1.0
427,27,1.0,1.0
428,28,1.0,0.0
429,29,1.0,1.0
430,30,1.0,0.0
431,31,1.0,1.0
432,32,1.0,1.0
433,33,1.0,1.0
434,34,1.0,1.0
435,35,1.0,1.0
436,36,1.0,0.0
437,37,1.0,1.0
438,38,1.0,0.0
439,39,1.0,1.0
440,40,1.0,0.0
441,41,1.0,1.0
442,42,1.0,1.0
443,43,1.0,1.0
444,44,1.0,1.0
445,45,1.0,1.0
446,46,1.0,1.0
447,47,1.0,1.0
448,48,1.0,0.0
449,49,1.0,0.0
450,50,1.0,1.0
451,51,1.0,1.0
452,52,1.0,0.0
453,53,1.0,0.0
454,54,1.0,0.0
455,55,1.0,1.0
456,56,1.0,0.0
457,57,1.0,1.0
458,58,1.0,1.0
459,59,1.0,1.0
460,60,1.0,0.0
461,61,1.0,1.0
462,62,1.0,1.0
463,63,1.0,1.0
464,64,1.0,1.0
465,65,1.0,0.0
466,66,1.0,1.0
467,67,1.0,1.0
468,68,1.0,1.0
469,69,1.0,1.0
470,70,1.0,0.0
471,71,1.0,1.0
472,72,1.0,0.0
473,73,1.0,1.0
474,74,1.0,1.0
475,75,1.0,0.0
476,76,1.0,1.0
477,77,1.0,1.0
478,78,1.0,0.0
479,79,1.0,1.0
480,80,1.0,1.0
481,81,1.0,1.0
482,82,1.0,1.0
483,83,1.0,0.0
484,84,1.0,1.0
485,85,1.0,1.0
486,86,1.0,0.0
487,87,1.0,1.0
488,88,1.0,1.0
489,89,1.0,1.0
490,90,1.0,0.0
491,91,1.0,1.0
492,92,1.0,1.0
493,93,1.0,1.0
494,94,1.0,0.0
495,95,1.0,1.0
496,96,1.0,0.0
497,97,1.0,1.0
498,98,1.0,1.0
499,99,1.0,0.0
500,0,1.0,1.0
501,1,1.0,1.0
502,2,1.0,0.0
503,3,1.0,1.0
504,4,1.0,1.0
505,5,1.0,1.0
506,6,1.0,1.0
507,7,1.0,1.0
508,8,1.0,1.0
509,9,1.0,1.0
510,10,1.0,1.0
511,11,1.0,1.0
512,12,1.0,1.0
513,13,1.0,1.0
514,14,1.0,1.0
515,15,1.0,1.0
516,16,1.0,1.0
517,17,1.0,1.0
518,18,1.0,0.0
519,19,1.0,0.0
520,20,1.0,0.0
521,21,1.0,1.0
522,22,1.0,1.0
523,23,1.0,0.0
524,24,1.0,1.0
525,25,1.0,0.0
526,26,1.0,1.0
527,27,1.0,1.0
